account,tweets,following,followers,month,likes,lists,moments,dept
https://twitter.com/cmkshama,3736,2272,21982,Sep-16,252,1,0,LEG
https://twitter.com/cmlgonzalez,281,327,1127,Sep-16,38,0,0,LEG
https://twitter.com/cmmikeobrien,855,1464,4913,Sep-16,124,0,0,LEG
https://twitter.com/cmrobjohnson,212,654,1025,Sep-16,203,0,0,LEG
https://twitter.com/councilmantim,1116,218,4796,Sep-16,37,0,0,LEG
https://twitter.com/d5juarez,379,396,887,Sep-16,180,0,0,LEG
https://twitter.com/lisa_herbold,24,72,796,Sep-16,1,0,0,LEG
https://twitter.com/sallybagshaw,3664,304,5400,Sep-16,220,10,0,LEG
https://twitter.com/seattlecouncil,7865,486,32818,Sep-16,1122,1,0,LEG
https://twitter.com/mayoredmurray,4179,929,19747,Sep-16,1201,11,1,MOS
https://twitter.com/humanrights206,698,689,545,Sep-16,4,0,0,OCR
https://twitter.com/seattlelgbt,745,467,711,Sep-16,2,0,0,OCR
https://twitter.com/seawomenscomm,465,219,540,Sep-16,62,0,0,OCR
https://twitter.com/seattleeconomy ,492,690,713,Sep-16,73,0,0,OED
https://twitter.com/alertseattle,57,297,2397,Sep-16,17,1,0,OEM
https://twitter.com/seattlerdy,63,1127,311,Sep-16,2,1,0,OEM
https://twitter.com/seattleose,1592,707,1316,Sep-16,29,1,0,OSE
https://twitter.com/seattle2035,1150,244,893,Sep-16,64,0,0,PCD
https://twitter.com/seattleopcd,571,104,379,Sep-16,66,0,0,PCD
https://twitter.com/seattleparks,6221,1098,24211,Sep-16,881,0,0,PKS
https://twitter.com/seattleparkways,302,3843,835,Sep-16,1212,0,0,PKS
https://twitter.com/dennysubstation,641,352,287,Sep-16,221,1,0,SCL
https://twitter.com/seacitylight,10853,271,18773,Sep-16,3156,2,0,SCL
https://twitter.com/skagittours,567,527,327,Sep-16,331,6,0,SCL
https://twitter.com/seattlefire,3848,324,70682,Sep-16,128,1,0,SFD
https://twitter.com/seamunicourt,16,8,103,Sep-16,0,1,0,SMC
https://twitter.com/getyourbikeback,57,4,1125,Sep-16,0,0,0,SPD
https://twitter.com/getyourcarback,19130,6,2134,Sep-16,7,0,0,SPD
https://twitter.com/seattlepd,19373,1989,262068,Sep-16,2991,0,0,SPD
https://twitter.com/splbuzz,19771,1112,16402,Sep-16,9980,2,0,SPL
